time,mains,microwave,dishwasher
1,341.769004,8.301483,5.0
2,341.282232,8.307159,5.0
3,342.117396,8.312164,5.0
4,343.427122,8.31662,5.0
5,342.978608,8.321106,5.0
6,344.79789800000003,8.324158,5.0
7,344.432412,8.326782,5.0
8,344.868716,8.328003,5.0
9,345.17722200000003,8.327576,5.0
10,345.48003,8.324707,5.0
11,345.811328,8.320892,5.0
12,346.345312,8.318054,5.0
13,346.69289000000003,8.315765,5.0
14,346.5016,8.311462,5.0
15,345.918776,8.306519,5.0
16,345.01849200000004,8.302643,5.0
17,344.696148,8.300873,5.0
18,346.15239399999996,8.298401,5.0
19,344.863832,8.291901,5.0
20,343.67783399999996,8.279999,5.0
21,343.30665,8.271698,4.5
22,343.462124,8.267487,4.0
23,344.990002,8.264099,5.0
24,345.865866,8.262573,4.5
25,341.00710000000004,8.26712,5.0
26,340.604984,8.273834,5.0
27,340.14995799999997,8.279938,5.0
28,340.173564,8.286011,5.0
29,340.11251400000003,8.292816,5.0
30,340.714874,8.3012085,5.0
31,342.58218999999997,8.3089905,5.0
32,342.368922,8.314941,5.0
33,342.703476,8.317841,5.0
34,342.7979,8.318146,5.0
35,343.375026,8.313416,5.0
36,345.22362,8.304535,5.0
37,345.844702,8.292297,5.0
38,345.708764,8.277069,5.0
39,346.491018,8.259857,4.5
40,345.43119,8.246124,5.0
41,345.042098,8.23645,4.5
42,344.011574,8.229736,5.0
43,342.482882,8.224426,4.666399999999953
44,339.48899,8.22168,5.0
45,338.093794,8.221802,4.5
46,337.790172,8.223145,5.0
47,337.941576,8.223572,5.0
48,337.827616,8.226379,5.0
49,337.550042,8.232483,5.0
50,337.45887400000004,8.23584,5.0
51,337.73888999999997,8.231842,5.0
52,336.86872400000004,8.227051,5.0
53,336.829652,8.225189,5.0
54,339.115364,8.224396,5.0
55,341.652602,8.224762,5.0
56,339.156064,8.227295,5.0
57,337.207348,8.230103,5.0
58,336.97128799999996,8.232697,5.0
59,336.472306,8.23584,5.0
60,337.650164,8.239899,4.5
61,338.89721199999997,8.2456665,5.0
62,338.64487199999996,8.25061,5.0
63,338.56021599999997,8.253815,5.0
64,338.443814,8.256622,5.0
65,338.030302,8.258545,5.0
66,339.63388199999997,8.256805,5.0
67,340.63835800000004,8.256165,5.0
68,340.53986399999997,8.257965,5.0
69,340.831276,8.259247,5.0
70,341.55410800000004,8.259003,5.0
71,339.76086599999996,8.260162,5.0
72,339.63144,8.261688,5.0
73,340.442184,8.26178,5.0
74,340.89151200000003,8.26001,5.0
75,340.57486600000004,8.25882,5.0
76,340.66033600000003,8.258423,5.0
77,341.068964,8.258148,5.0
78,341.268394,8.257477,5.0
79,340.62859000000003,8.257385,5.0
80,340.3152,8.258057,4.666399999999953
81,340.30217600000003,8.259003,5.0
82,340.69371,8.259491,5.0
83,340.31113000000005,8.259247,5.0
